"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"52","Ambient_LOW_18","Ambient","Low","Memories of Grass","Perila",NA,"2021","no",NA,00:00:00,00:00:30,NA,18,2.4,1.51657508881031,1,0,1.4,0.547722557505166,1.6,0.547722557505166,3,0,1.6,0.894427190999916,1,"Ambient",60,60,"2000s",40,20,"Europe",80,""
"53","Ambient_LOW_19","Ambient","Low","One and Two","Pablo Bolviar, Sensual Physics",NA,"2022","no",NA,00:00:00,00:00:30,NA,19,3,1.22474487139159,1.4,0.894427190999916,2.2,0.836660026534076,3.4,1.34164078649987,3.6,0.894427190999916,2.6,1.67332005306815,1,"Funk, Electronic",28.5714285714286,20,"1990s",80,0,"Europe",80,""
"54","Ambient_LOW_20","Ambient","Low","Rain And Sea","Abstract Audio Systems",NA,"2005","no",NA,00:00:00,00:00:30,NA,20,2.2,0.836660026534076,1.4,0.894427190999916,1.8,1.30384048104053,2.6,1.14017542509914,2,0.707106781186548,2.4,0.894427190999916,1,"Electronic",42.8571428571429,40,"2000s",40,40,"Europe",80,""
"55","Ambient_LOW_21","Ambient","Low","Value Kit","Halosar",NA,"2022","no",NA,00:00:00,00:00:30,NA,21,3,1.58113883008419,1.4,0.547722557505166,2.2,0.836660026534076,3.6,1.34164078649987,3.6,0.894427190999916,2,0,1,"Ambient",42.8571428571429,60,"1980s",60,0,"Europe, USA_Canada",40,""
"56","Ambient_MED_01","Ambient","Medium","2010 Toyota Corolla","2003 Toyota Corolla",NA,"2021","no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/46SGVh1UmqEURyLmLiKojI?si=04288af4b1904eb9",1,2.2,0.447213595499958,1.2,0.447213595499958,2,0.707106781186548,1.8,1.30384048104053,3,0.707106781186548,2.2,0.447213595499958,3,"Ambient, Folk, Jazz",25,40,"1980s",60,0,"Latin_SouthAm",40,""
"57","Ambient_MED_02","Ambient","Medium","Diamond Cove ( And Its Children Were Watching)","Kyle Bobby Dunn",NA,"2012","no",NA,00:00:00,00:00:30,NA,2,3.2,1.78885438199983,1.2,0.447213595499958,1.4,0.547722557505166,3,1.58113883008419,2.6,1.14017542509914,1.6,1.34164078649987,3,"Ambient, Classical",33.3333333333333,40,"2010s",40,40,"Europe",60,""
"58","Ambient_MED_03","Ambient","Medium","Holding On","Tracey Chattaway",NA,"2015","no",NA,00:00:00,00:00:30,NA,3,3.66666666666667,0.577350269189626,1,0,2.66666666666667,1.52752523165195,4.33333333333333,0.577350269189626,4,0,2.33333333333333,1.52752523165195,3,"Ambient",60,100,"1990s, 2000s, 2010s",33.3333333333333,33.3333333333333,"Europe",100,""
"59","Ambient_MED_04","Ambient","Medium","Life's Casino","Sounds From The Ground",NA,"2019","no",NA,00:00:00,00:00:30,NA,4,3,1.73205080756888,1,0,1.66666666666667,0.577350269189626,2.66666666666667,0.577350269189626,2.33333333333333,1.15470053837925,2.33333333333333,0.577350269189626,3,"Ambient",66.6666666666667,66.6666666666667,"1990s",66.6666666666667,0,"USA_Canada",66.6666666666667,""
"60","Ambient_MED_05","Ambient","Medium","Study Music (Concentrate)","Alpha Brain Waves",NA,"2018","no",NA,00:00:00,00:00:30,NA,5,3,0,1,0,1,0,2.75,0.5,3,0.816496580927726,1,0,3,"Ambient",66.6666666666667,100,"2010s",50,50,"USA_Canada",75,""
"61","Ambient_MED_06","Ambient","Medium","Tachyon","Tripswitch",NA,"2005","no",NA,00:00:47,00:01:17,NA,6,2,1,1,0,1.66666666666667,1.15470053837925,2.66666666666667,2.08166599946613,3,1,2,1,3,"Electronic",50,33.3333333333333,"1980s",66.6666666666667,33.3333333333333,"Europe",66.6666666666667,""
"62","Ambient_MED_07","Ambient","Medium","The Stargazer's Jouney","John Serrie",NA,"2003","no",NA,00:00:00,00:00:30,NA,7,2.25,1.5,2,1.4142135623731,1.5,0.577350269189626,3.5,1.91485421551268,3.5,1.91485421551268,1.25,0.5,3,"Electronic",40,25,"1990s",50,25,"Europe",100,""
"63","Classical_HIGH_01","Classical","High","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach","Yo-Yo Ma",NA,"no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/008QtQEu6kF3yve3jhiAVQ?si=cdfa6ca157df466a",1,3.4,0.547722557505166,3,1.22474487139159,2.4,0.547722557505166,3.4,1.34164078649987,3.6,0.894427190999916,2.2,0.447213595499958,3,"Classical",100,100,"pre1960",80,NA,"Europe",80,""
